DateTime,Time,Fault
2014-05-14 14:39:44,1400096384.0,GF
2014-05-14 14:50:24,1400097024.0,GF
2014-05-14 14:58:56,1400097536.0,GF
2014-05-14 15:09:36,1400098176.0,GF
2014-05-14 15:20:16,1400098816.0,GF
2014-05-14 15:30:56,1400099456.0,GF
2014-06-04 08:09:20,1401887360.0,MF
2014-06-04 08:20:00,1401888000.0,MF
2014-06-04 17:00:32,1401919232.0,MF
2014-06-05 15:50:08,1402001408.0,MF
2014-06-05 17:41:04,1402008064.0,FF
2014-06-08 23:50:08,1402289408.0,AF
2014-06-09 00:00:48,1402290048.0,AF
2014-06-09 00:00:48,1402290048.0,MF
2014-06-09 00:09:20,1402290560.0,AF
2014-06-09 00:09:20,1402290560.0,MF
2014-06-09 23:50:08,1402375808.0,AF
2014-06-10 00:00:48,1402376448.0,AF
2014-06-10 00:00:48,1402376448.0,MF
2014-06-10 00:09:20,1402376960.0,AF
2014-06-10 00:09:20,1402376960.0,MF
2014-06-10 23:50:08,1402462208.0,AF
2014-06-11 00:00:48,1402462848.0,AF
2014-06-11 00:00:48,1402462848.0,MF
2014-06-11 00:09:20,1402463360.0,AF
2014-06-11 00:09:20,1402463360.0,MF
2014-06-11 23:50:08,1402548608.0,AF
2014-06-12 00:00:48,1402549248.0,AF
2014-06-12 00:00:48,1402549248.0,MF
2014-06-12 00:09:20,1402549760.0,AF
2014-06-12 00:09:20,1402549760.0,MF
2014-06-13 12:50:56,1402681856.0,FF
2014-06-25 21:50:40,1403751040.0,AF
2014-06-25 21:59:12,1403751552.0,AF
2014-06-25 21:59:12,1403751552.0,MF
2014-06-25 22:09:52,1403752192.0,AF
2014-06-25 22:09:52,1403752192.0,MF
2014-07-03 14:50:24,1404417024.0,AF
2014-07-03 14:58:56,1404417536.0,AF
2014-07-03 14:58:56,1404417536.0,MF
2014-07-03 15:09:36,1404418176.0,AF
2014-07-03 15:09:36,1404418176.0,MF
2014-07-14 12:29:36,1405358976.0,EF
2014-07-14 12:29:36,1405358976.0,FF
2014-07-14 12:40:16,1405359616.0,EF
2014-07-14 12:40:16,1405359616.0,FF
2014-07-18 01:09:04,1405663744.0,EF
2014-07-18 01:09:04,1405663744.0,FF
2014-07-18 01:19:44,1405664384.0,EF
2014-07-18 01:19:44,1405664384.0,FF
2014-07-18 01:30:24,1405665024.0,EF
2014-07-18 01:30:24,1405665024.0,FF
2014-07-18 01:38:56,1405665536.0,EF
2014-07-18 01:38:56,1405665536.0,FF
2014-07-18 01:49:36,1405666176.0,EF
2014-07-18 02:00:16,1405666816.0,EF
2014-07-21 06:50:24,1405943424.0,AF
2014-07-21 07:01:04,1405944064.0,AF
2014-07-21 07:09:36,1405944576.0,AF
2014-07-21 07:20:16,1405945216.0,AF
2014-07-22 06:50:24,1406029824.0,AF
2014-07-22 06:58:56,1406030336.0,AF
2014-07-22 07:09:36,1406030976.0,AF
2014-08-07 16:49:52,1407448192.0,AF
2014-08-07 17:00:32,1407448832.0,AF
2014-08-07 17:09:04,1407449344.0,AF
2014-08-10 12:10:24,1407690624.0,EF
2014-08-10 12:10:24,1407690624.0,FF
2014-08-10 12:21:04,1407691264.0,EF
2014-08-10 12:21:04,1407691264.0,FF
2014-08-15 19:49:04,1408150144.0,AF
2014-08-15 19:59:44,1408150784.0,AF
2014-08-15 20:10:24,1408151424.0,AF
2014-08-15 20:21:04,1408152064.0,AF
2014-08-16 19:49:04,1408236544.0,AF
2014-08-16 19:59:44,1408237184.0,AF
2014-08-16 20:10:24,1408237824.0,AF
2014-08-17 17:09:04,1408313344.0,EF
2014-08-17 17:09:04,1408313344.0,FF
2014-08-17 17:19:44,1408313984.0,EF
2014-08-17 17:19:44,1408313984.0,FF
2014-08-17 17:30:24,1408314624.0,EF
2014-08-17 19:49:04,1408322944.0,AF
2014-08-17 19:59:44,1408323584.0,AF
2014-08-17 20:10:24,1408324224.0,AF
2014-08-18 19:49:04,1408409344.0,AF
2014-08-18 19:59:44,1408409984.0,AF
2014-08-18 20:10:24,1408410624.0,AF
2014-08-19 19:49:04,1408495744.0,AF
2014-08-19 19:59:44,1408496384.0,AF
2014-08-19 20:10:24,1408497024.0,AF
2014-08-20 19:49:04,1408582144.0,AF
2014-08-20 19:59:44,1408582784.0,AF
2014-08-20 20:10:24,1408583424.0,AF
2014-08-21 19:49:04,1408668544.0,AF
2014-08-21 19:59:44,1408669184.0,AF
2014-08-21 20:10:24,1408669824.0,AF
2014-08-22 19:49:04,1408754944.0,AF
2014-08-22 19:59:44,1408755584.0,AF
2014-08-22 20:10:24,1408756224.0,AF
2014-08-28 11:29:52,1409243392.0,EF
2014-08-28 11:29:52,1409243392.0,FF
2014-08-28 11:40:32,1409244032.0,EF
2014-08-28 11:40:32,1409244032.0,FF
2014-09-18 11:49:04,1411058944.0,AF
2014-09-18 11:59:44,1411059584.0,AF
2014-09-18 12:10:24,1411060224.0,AF
2014-10-02 23:30:56,1412310656.0,EF
2014-10-02 23:30:56,1412310656.0,FF
2014-10-02 23:39:28,1412311168.0,EF
2014-10-02 23:39:28,1412311168.0,FF
2014-10-02 23:50:08,1412311808.0,EF
2014-10-02 23:50:08,1412311808.0,FF
2014-10-03 00:39:12,1412314752.0,EF
2014-10-03 00:39:12,1412314752.0,FF
2014-10-03 00:49:52,1412315392.0,EF
2014-10-03 00:49:52,1412315392.0,FF
2014-10-03 01:00:32,1412316032.0,EF
2014-10-03 01:09:04,1412316544.0,EF
2014-10-05 16:49:52,1412545792.0,EF
2014-10-05 16:49:52,1412545792.0,FF
2014-10-05 17:00:32,1412546432.0,EF
2014-10-05 17:00:32,1412546432.0,FF
2014-10-05 17:49:36,1412549376.0,EF
2014-10-05 17:49:36,1412549376.0,FF
2014-10-05 18:00:16,1412550016.0,EF
2014-10-05 18:00:16,1412550016.0,FF
2014-10-05 18:49:20,1412552960.0,EF
2014-10-05 19:00:00,1412553600.0,EF
2014-10-05 19:49:04,1412556544.0,EF
2014-10-05 19:49:04,1412556544.0,FF
2014-10-05 19:59:44,1412557184.0,EF
2014-10-05 19:59:44,1412557184.0,FF
2014-10-05 20:18:56,1412558336.0,EF
2014-10-05 20:18:56,1412558336.0,FF
2014-10-05 20:29:36,1412558976.0,EF
2014-10-05 20:29:36,1412558976.0,FF
2014-10-08 06:58:56,1412769536.0,MF
2014-10-08 07:09:36,1412770176.0,MF
2014-10-08 13:29:20,1412792960.0,MF
2014-10-08 13:40:00,1412793600.0,MF
2014-10-14 23:09:36,1413346176.0,EF
2014-10-14 23:09:36,1413346176.0,FF
2014-10-14 23:20:16,1413346816.0,EF
2014-10-14 23:20:16,1413346816.0,FF
2014-10-15 03:00:00,1413360000.0,EF
2014-10-15 03:00:00,1413360000.0,FF
2014-10-15 03:10:40,1413360640.0,EF
2014-10-15 03:10:40,1413360640.0,FF
2014-10-15 03:19:12,1413361152.0,EF
2014-10-15 03:19:12,1413361152.0,FF
2014-10-15 10:40:48,1413387648.0,EF
2014-10-15 10:40:48,1413387648.0,FF
2014-10-15 10:49:20,1413388160.0,EF
2014-10-15 10:49:20,1413388160.0,FF
2014-10-15 11:49:04,1413391744.0,EF
2014-10-15 11:59:44,1413392384.0,EF
2014-10-17 11:49:04,1413564544.0,GF
2014-10-17 11:59:44,1413565184.0,GF
2014-10-17 12:10:24,1413565824.0,GF
2014-10-17 13:40:00,1413571200.0,EF
2014-10-17 13:40:00,1413571200.0,FF
2014-10-17 13:50:40,1413571840.0,EF
2014-10-17 13:50:40,1413571840.0,FF
2014-10-17 19:29:52,1413592192.0,EF
2014-10-17 19:29:52,1413592192.0,FF
2014-10-17 19:40:32,1413592832.0,EF
2014-10-17 19:40:32,1413592832.0,FF
2014-10-18 21:10:08,1413684608.0,EF
2014-10-18 21:20:48,1413685248.0,EF
2014-10-18 21:29:20,1413685760.0,EF
2014-10-19 02:49:20,1413704960.0,EF
2014-10-19 02:49:20,1413704960.0,FF
2014-10-19 03:00:00,1413705600.0,EF
2014-10-19 03:00:00,1413705600.0,FF
2014-10-19 06:20:32,1413717632.0,EF
2014-10-19 06:20:32,1413717632.0,FF
2014-10-19 06:29:04,1413718144.0,EF
2014-10-19 06:29:04,1413718144.0,FF
2014-10-19 06:39:44,1413718784.0,EF
2014-10-19 06:50:24,1413719424.0,EF
2014-10-19 06:50:24,1413719424.0,FF
2014-10-19 07:01:04,1413720064.0,EF
2014-10-19 07:01:04,1413720064.0,FF
2014-10-19 09:19:44,1413728384.0,EF
2014-10-19 09:19:44,1413728384.0,FF
2014-10-19 09:30:24,1413729024.0,EF
2014-10-19 09:30:24,1413729024.0,FF
